"","HH_CBSA10","tot_w_age","tot_w","avg_age"
"1","12060",29444337.7016532,3551812.73616523,8.29
"2","14460",18227721.5039942,2648979.64058263,6.88
"3","16980",39224113.267821,5709672.26778454,6.87
"4","19100",33265264.228078,4360331.34298092,7.63
"5","19820",21836335.7198334,2959806.37863506,7.38
"6","26420",22417278.2292265,3087634.04809672,7.26
"7","31080",63260278.6847317,7306351.86748186,8.66
"8","33100",21693574.9607302,3170739.71025894,6.84
"9","33460",21166070.8230129,2442503.87501582,8.67
"10","35620",61773541.3719084,9078818.69929988,6.8
"11","37980",24678264.3067054,3237378.44752065,7.62
"12","38060",20675942.0685653,2558882.10777217,8.08
"13","40140",20264637.9586509,2383253.9323482,8.5
"14","41740",17311102.9830197,1994375.81196546,8.68
"15","41860",27053251.4491231,2893768.70450599,9.35
"16","42660",26753311.6002972,2863878.57413135,9.34
"17","47900",26786363.9616548,3486001.79063446,7.68
